time,BTCUSDT_close,ETHUSDT_close,SOLUSDT_close,XRPUSDT_close,DOGEUSDT_close,TRXUSDT_close,ADAUSDT_close
2023-01-01 00:00:00,16529.01,1193.82,9.99,0.3384,0.06977,0.05454,0.2446
2023-01-01 01:00:00,16551.38,1195.99,10.03,0.3388,0.06998,0.05475,0.2454
2023-01-01 02:00:00,16547.56,1195.8,10.02,0.338,0.06983,0.05472,0.2456
2023-01-01 03:00:00,16533.2,1194.07,9.97,0.3381,0.06982,0.05474,0.2456
2023-01-01 04:00:00,16521.42,1192.88,9.85,0.336,0.06918,0.05462,0.2446
2023-01-01 05:00:00,16530.1,1194.56,9.81,0.3366,0.06935,0.0545,0.2447
2023-01-01 06:00:00,16538.19,1194.91,9.79,0.3366,0.06925,0.05456,0.2445
2023-01-01 07:00:00,16525.2,1194.99,9.79,0.3368,0.06945,0.05453,0.2453
2023-01-01 08:00:00,16513.86,1194.32,9.73,0.3369,0.06924,0.05447,0.2444
2023-01-01 09:00:00,16537.52,1196.42,9.81,0.3378,0.06967,0.05454,0.2451
2023-01-01 10:00:00,16550.5,1197.05,9.81,0.3384,0.06966,0.05466,0.2452
2023-01-01 11:00:00,16556.11,1196.48,9.92,0.3383,0.06963,0.05467,0.246
2023-01-01 12:00:00,16561.85,1197.41,9.94,0.3383,0.06959,0.0547,0.2461
2023-01-01 13:00:00,16547.93,1195.4,9.86,0.3383,0.06958,0.0547,0.2453
2023-01-01 14:00:00,16541.28,1194.36,9.84,0.3374,0.06953,0.05466,0.2457
2023-01-01 15:00:00,16557.31,1196.67,9.86,0.3369,0.06972,0.05484,0.2462
2023-01-01 16:00:00,16564.06,1197.23,9.86,0.3372,0.06966,0.0549,0.2469
2023-01-01 17:00:00,16580.4,1200.7,9.94,0.3381,0.06982,0.0549,0.248
2023-01-01 18:00:00,16590.41,1201.02,9.98,0.3397,0.07034,0.05489,0.2486
2023-01-01 19:00:00,16603.47,1201.63,9.96,0.3391,0.07033,0.05485,0.2483
2023-01-01 20:00:00,16601.82,1201.27,9.98,0.3387,0.0704,0.05486,0.2482
2023-01-01 21:00:00,16607.6,1202.59,9.97,0.3386,0.07034,0.0549,0.249
2023-01-01 22:00:00,16602.14,1200.86,9.97,0.3385,0.0701,0.05489,0.2492
2023-01-01 23:00:00,16616.03,1200.4,9.99,0.3386,0.07022,0.05481,0.2499
2023-01-02 00:00:00,16588.73,1198.22,9.9,0.3365,0.06984,0.05481,0.2486
2023-01-02 01:00:00,16563.28,1194.87,9.85,0.3253,0.06921,0.05446,0.2476
2023-01-02 02:00:00,16587.37,1196.67,9.91,0.3265,0.06945,0.05454,0.2484
2023-01-02 03:00:00,16661.5,1201.62,9.99,0.3286,0.07001,0.05457,0.2498
